Descripción;Referencia;Unidad;Costo;Envío;Impuestos;Margen op.;Unidad2;Costo final unitario;C. Cable 1;C. Cable 2;C. Cable 3;C. Cable 4;C. Cable 42;C. con 1 1;C. Con 1 2;C. Con 1 22;C. Con 1 3;C. Con 2 1;C. Con 2 2;C. Con 2 22;C. Con 2 3;C. Otros 1;;;;
;Bolsa para 3 a 10m simplex, Value;und;0,04;;0,004;0,00528;1;0,0493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;Bolsa para 1 a 3 m simplex, Premium;und;0,186;;0,0186;0,024552;1;0,2292;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;Bolsa para 3 a 10m simplex, Premium;und;0,195;;0,0195;0,02574;1;0,2402;0;1;0;0;0;0;0;0;0;0;0;0;0;0,24024;;;;
Etiquetado;Value;und;0,01;;0,001;0,00132;1;0,0123;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24024;;;;
;Premium;und;0,1;;0,01;0,0132;1;0,1232;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Otros;Rubber pad;und;61,9;;6,19;8,1708;10000;0,0076;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00762608;;;;
;Mano de obra Premium;und;;;0;0;;0,4000;0;1;0;0;0;0;0;0;0;0;0;0;0;0,4;;;;
;Mano de obra MPO;und;;;0;0;;1,0000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;Mano de obra Value;und;;;0;0;;0,2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;0;;;;2,54408;;;;2,54408;1,142257413;;;;
